Q21_rep1	Q21_rep2	Q21_rep3	Q107_rep1	Q107_rep2	Q107_rep3	Q107CI_rep1	Q107CI_rep2	Q107CI_rep3	Q107CI_rep4
0,78158	0,76802	0,43856	0,14104	0,48923	0,85416	0,56559	0,5983	0,58614	0,71919
0,32134	0,32874	0,54886	0,79078	0,74488	0,78789	0,78663	0,89158	0,66353	0,41158
0,47081	0,5314	0,15461	0,60337	0,7795	0,8425	0,52165	0,73425	0,60136	0,23117
0,38922	0,18181	0,097892	0,56206	0,69374	0,48732	0,71811	0,64075	0,76406	0,19896
0,6392	0,53651	0,81648	0,47998	0,38095	0,28079	0,34605	0,87594	0,81894	0,75115
0,77789	0,6078	0,80595	0,85213	0,30368	0,61668	0,70662	0,4324	0,65283	0,34586
0,86579	0,73917	0,51218	0,87935	0,42272	0,57119	0,35442	0,68223	0,6924	0,17368
0,96657	0,54145	0,41774	0,81884	0,57264	0,35463	0,83937	0,55744	0,73623	0,14695
0,88669	0,43483	0,69266	0,47819	0,66446	0,39447	0,40517	0,37586	0,71826	0,30434
0,81815	0,22246	0,71928	0,59313	0,52579	0,61644	0,53289	0,35079	0,78401	0,81261
0,75418	0,28318	0,81319	0,68891	0,66458	0,71274	0,29085	0,70213	0,52484	0,079703
0,77475	0,43801	0,83975	0,63517	0,59088	0,49668	0,39249	0,76219	0,67183	0,38505
0,6763	0,15354	0,82176	0,62039	0,017218	0,4909	0,2353	0,7535	0,58654	0,84546
0,61477	0,38126	0,22874	0,51581	0,77038	0,69283	0,30067	0,69285	0,58826	0,1443
0,55666	0,74738	0,71377	0,4848	0,74886	0,7918	0,49234	0,50054	0,66504	0,77619
0,44931	0,38794	0,62096	0,35304	0,94835	0,64956	0,46673	0,86567	0,79719	0,85801
0,52313	0,94725	0,40978	0,3784	0,87042	0,66971	0,48744	0,42206	0,81437	0,96064
0,49873	0,82547	0,68318	0,89248	0,46979	0,77022	0,81848	0,28528	0,81022	0,93865
0,53622	0,88726	0,75362	0,88699	0,82627	0,94855	0,65102	0,44299	0,67672	0,85464
0,56215	0,83558	0,78404	0,72048	0,63222	0,61346	0,53707	0,63611	0,68911	0,95549
0,65993	0,65867	0,76774	0,66512	0,22925	0,30768	0,8672	0,91165	0,67693	0,3737
0,75647	0,42432	0,89095	0,54018	0,57441	0,21208	0,63396	0,50535	0,72019	0,41963
0,68289	0,35166	0,71935	0,65423	0,56763	0,53655	0,56916	0,64954	0,62494	0,5904
0,65712	0,75629	0,15367	0,37069	0,62504	0,68692	0,56511	0,56312	0,68515	0,66831
0,56965	0,9142	0,5041	0,71061	0,24744	0,77307	0,65513	0,42364	0,71067	0,58314
0,62196	0,35803	0,54313	0,36585	0,63975	0,78796	0,38132	0,42342	0,78511	0,52979
0,71027	0,58036	0,58928	0,8558	0,27131	0,80332	0,31802	0,57867	0,7042	0,77116
0,70829	0,6088	0,58631	0,43716	0,56205	0,74501	0,13972	0,42107	0,73052	0,43647
0,77026	0,73995	0,54456	0,65052	0,73666	0,76404	0,72384	0,43159	0,80176	0,78891
0,79531	0,78727	0,83625	0,32421	0,77261	0,77875	0,35332	0,46061	0,94128	0,2945
0,76668	0,72331	0,71497	0,77262	0,75462	0,80402	0,65138	0,50821	0,91069	0,3076
0,72126	0,5274	0,56506	0,58054	0,76991	0,75739	0,61978	0,89191	0,74324	0,44162
0,41309	0,71219	0,49967	0,47499	0,56063	0,78049	0,47073	0,88856	0,72162	0,59944
0,51026	0,37005	0,43695	0,90618	0,62985	0,54319	0,76055	0,76751	0,62734	0,27243
0,47691	0,49786	0,51122	0,58863	0,47921	0,71569	0,66818	0,70572	0,72087	0,12281
0,45428	0,40763	0,58228	0,95567	0,68408	0,84978	0,73362	0,5741	0,49311	0,29594
0,40905	0,086355	0,42003	0,92009	0,53388	0,83593	0,76681	0,51221	0,53185	0,91391
